Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Ajalvir|28864|CARRETERA M-114 KM. 1|1,875|1,949|22.125547564904636
Álamo (El)|28607|PASEO AVILES, 2||1,790|32.61246605769828
Álamo (El)|28607|CARRETERA M-404 KM. 4,950|1,869|1,949|31.896326579961777
Álamo (El)|28607|CTRA. LOCAL M-404 km 3,640|1,857|1,767|31.338315947453147
Álamo (El)|28607|AVENIDA MADRID, 2|1,727|1,777|31.398045327957032
Alcalá de Henares|28801|CARRETERA DAGANZO KM. 3|1,769|1,759|27.966586574347044
Alcalá de Henares|28801|CALLE PERU, 31|1,739|1,709|27.35307048090888
Alcalá de Henares|28801|CALLE MEJICO, 17|1,769|1,759|27.459442443688364
Alcalá de Henares|28802|AVDA. PUERTA DE MADRID, 20|1,799|1,839|28.0622808043481
Alcalá de Henares|28802|CALLE AVENIDA MADRID ESQUINA CARLOS III, SN|1,789|1,829|26.3856809210159
Alcalá de Henares|28802|N-II km 29,000|1,819|1,879|27.5427671813734
Alcalá de Henares|28802|N-II km 29,000|1,819|1,879|27.468451304203466
Alcalá de Henares|28805|VÍA VIA COMPLUTENSE ESQ. C/ AVILA, N|1,809|1,839|30.6500644814577
Alcalá de Henares|28805|CARRETERA ANTIGUA N-II KM. 26,00|1,869|1,929|24.696204188708183
Alcalá de Henares|28805|CARRETERA M-300 KM. 26,4|1,869|1,929|25.12129099583403
Alcalá de Henares|28805|VÍA COMPLUTENSE, 105|1,809|1,839|30.057212428131912
Alcalá de Henares|28805|CR M-300, 30.3|1,855|1,939|24.65997203367987
Alcalá de Henares|28805|CR M-300 (PG.MATILLAS-PARC.A1), P.K|1,869|1,949|26.42222254251103
Alcalá de Henares|28805|AVENIDA GUADALAJARA, 29|1,865|1,939|29.635418779411058
Alcalá de Henares|28805|POLIGONO ESPARTALES SUR, C/ FEDERICO GARCIA LORCA,, S/N|1,839|1,849|29.313434838091485
Alcalá de Henares|28805|VÍA COMPLUTENSE, 41|1,869|1,909|29.261934772829164
Alcalá de Henares|28805|AVENIDA VIA COMPLUTENSE, 165|1,849|1,939|31.153322014254808
Alcalá de Henares|28805|C.C. LA DEHESA, AUTOVIA MADRID-BARCELONA km 34,0|1,707|1,699|32.59395069608856
Alcalá de Henares|28805|AVENIDA DE MADRID, 60|1,717|1,777|26.206106194214133
Alcalá de Henares|28806|CALLE ISAAC NEWTON, 155|1,779|1,769|27.237796478727454
Alcalá de Henares|28806|AVENIDA JUAN CARLOS I, 44|1,869|1,939|26.339863785324933
Alcalá de Henares|28806|CARRETERA AJARVIL-ALCALA (PG 32C PARCELA26A) KM. S/N|1,839|1,899|27.587243922735542
Alcalá de Henares|28806|AVENIDA DAGANZO, 12|1,839|1,899|28.103818472817277
Alcalá de Henares|28806|AVENIDA JUAN CARLOS I, S/N|1,869|1,949|26.015107907975654
Alcalá de Henares|28806|CARRETERA M-300 (MARGEN IZQUIERDO) KM. 26,9|1,859|1,935|25.544750521626916
Alcalá de Henares|28806|POLIGONO LA GARENA, AV. EUROPA, S/N, S/N|1,769|1,739|27.80938862137419
Alcalá de Henares|28806|CALLE VILLAMALEA, 2|1,809|1,839|30.792042844340777
Alcalá de Henares|28806|CARRETERA DAGANZO KM. 5|1,769|1,759|27.936550578686617
Alcobendas|28100|CALLE VALGRANDE, 30|1,799|1,799|14.813493633105056
Alcobendas|28100|CARRETERA ANTIGUA NACIONAL I KM. 15,5|1,889|1,949|14.348558199165385
Alcobendas|28100|AVENIDA VALDELAPARRA (DE), 5|1,889|1,949|15.634313509331513
Alcobendas|28100|PASEO ALCOBENDAS (DE), 10|1,889|1,955|14.442014038124398
Alcobendas|28100|CL AVENIDA DE ESPAÑA, S.N.|1,899|1,959|15.959640618163938
Alcobendas|28100|CR M-603, 14,1|1,889|1,959|13.305811420188466
Alcobendas|28100|AVENIDA EUROPA (C.C. LA MORALEJA), 13/15|1,919|1,945|12.640506028943358
Alcobendas|28100|CARRETERA M-603 KM. 14,900|1,879|1,929|13.701646343229061
Alcobendas|28100|AVENIDA VALDELAPARRA, 3|1,869|1,909|14.79771268161706
Alcobendas|28100|CARRETERA A-1 KM. 14,500|1,849|1,899|13.684213010422813
Alcobendas|28100|AVENIDA MONTE DE VALDELATAS, 5|1,879|1,949|13.533397068497953
Alcobendas|28100|CALLE MARQUES DE LA VALDAVIA (DEL), 138|1,879|1,949|15.616006704779345
Alcobendas|28100|CARRETERA BARAJAS KM. S/N|1,879|1,949|15.186586594977404
Alcobendas|28100|AVENIDA MARQUES DE LA VALDAVIA, 132|1,797|1,799|15.61225804579189
Alcobendas|28108|CALLE VALGRANDE, 11|1,797|1,799|14.556513342084648
Alcobendas|28108|AVENIDA OLIMPICA, 9|1,819|1,849|14.744276857125696
Alcobendas|28108|CALLE FRANCISCO GERVAS, 13|1,819|1,879|14.216865478079455
Alcobendas|28108|CL BOULEVARD SALVADOR ALLENDE, 12-1|1,885|1,949|15.065813698499422
Alcobendas|28108|BULEVAR SALVADOR ALLENDE (DE), 13|1,885|1,949|15.079597663073962
Alcobendas|28108|CARRETERA FUENCARRAL KM. 100|1,819|1,789|12.774907981710085
Alcobendas|28109|PLAZA MORALEJA S/N, S/N|1,899|1,959|12.30441931885909
